"Date","Price","Open","High","Low","Vol.","Change %"
"01/24/2025","444.40","454.06","456.54","443.25","9.51M","-2.45%"
"01/23/2025","455.54","449.64","459.90","447.85","7.92M","1.31%"
"01/22/2025","449.64","462.60","463.38","442.53","12.42M","-2.37%"
"01/21/2025","460.54","469.16","476.22","459.11","11.66M","-1.76%"
"01/20/2025","468.77","472.19","474.01","464.32","9.96M","-0.69%"
"01/17/2025","472.04","468.50","475.52","467.50","7.01M","0.70%"
"01/16/2025","468.77","466.08","472.80","464.53","8.68M","1.41%"
"01/15/2025","462.26","466.74","475.22","457.69","10.50M","-0.90%"
"01/14/2025","466.44","454.94","471.59","454.94","11.38M","2.60%"
"01/13/2025","454.64","465.53","468.29","453.30","12.23M","-3.05%"
"01/10/2025","468.95","472.22","477.00","464.20","11.14M","-0.70%"
"01/09/2025","472.25","484.30","490.35","465.80","17.95M","-1.87%"
"01/08/2025","481.24","479.82","482.48","473.19","11.86M","0.21%"
"01/07/2025","480.21","469.77","482.45","467.65","15.55M","2.19%"
"01/06/2025","469.92","482.91","482.91","463.29","16.95M","-1.79%"
"01/03/2025","478.49","464.93","484.66","460.96","24.77M","3.31%"
"01/02/2025","463.14","459.66","464.53","453.64","15.29M","2.11%"
"01/01/2025","453.58","448.25","454.70","445.55","7.79M","1.23%"
"12/31/2024","448.07","444.13","450.03","443.59","7.09M","0.89%"
"12/30/2024","444.13","456.39","457.00","442.35","17.44M","-2.25%"
"12/27/2024","454.33","453.42","464.23","451.43","15.84M","1.31%"
"12/26/2024","448.46","445.62","452.70","445.28","9.34M","0.64%"
"12/24/2024","445.62","437.99","451.18","437.38","12.55M","1.92%"
"12/23/2024","437.20","444.16","444.59","434.48","9.65M","-0.26%"
"12/20/2024","438.32","450.58","453.76","436.78","17.96M","-2.69%"
"12/19/2024","450.43","450.67","457.54","448.82","17.12M","-1.54%"
"12/18/2024","457.48","468.56","468.71","456.45","19.09M","-3.08%"
"12/17/2024","472.04","475.52","482.09","470.98","10.27M","-0.64%"
"12/16/2024","475.10","479.09","480.64","474.01","10.02M","-0.70%"
"12/13/2024","478.43","477.64","479.76","469.16","14.10M","0.50%"
"12/12/2024","476.04","483.81","485.51","475.52","10.60M","-1.60%"
"12/11/2024","483.75","486.05","488.51","483.21","7.76M","-0.10%"
"12/10/2024","484.24","487.20","490.62","482.75","13.11M","0.14%"
"12/09/2024","483.54","494.47","496.62","482.48","15.57M","-2.21%"
"12/06/2024","494.47","480.06","495.71","475.40","19.72M","3.06%"
"12/05/2024","479.79","480.06","482.78","472.80","12.17M","0.56%"
"12/04/2024","477.09","487.33","487.93","474.64","12.39M","-1.64%"
"12/03/2024","485.06","481.27","487.93","478.24","9.87M","1.42%"
"12/02/2024","478.27","476.61","482.33","475.22","8.43M","0.46%"
"11/29/2024","476.10","471.89","477.88","470.41","10.36M","0.90%"
"11/28/2024","471.86","474.01","479.79","470.98","10.94M","-0.57%"
"11/27/2024","474.58","475.25","479.39","471.65","10.01M","0.12%"
"11/26/2024","474.01","482.57","485.39","472.28","10.31M","-1.71%"
"11/25/2024","482.24","489.17","490.47","480.45","15.19M","0.71%"
"11/22/2024","478.85","469.16","480.67","469.16","14.54M","2.22%"
"11/21/2024","468.47","475.19","475.79","463.87","14.19M","-1.19%"
"11/19/2024","474.13","467.29","484.24","467.29","14.01M","1.46%"
"11/18/2024","467.29","470.98","473.25","459.60","17.05M","-0.31%"
"11/14/2024","468.74","476.19","479.46","467.35","11.74M","-1.52%"
"11/13/2024","475.97","476.43","479.85","469.50","14.67M","0.18%"
"11/12/2024","475.13","487.93","492.23","474.04","16.53M","-2.47%"
"11/11/2024","487.14","484.90","503.34","479.46","27.59M","-0.09%"
"11/08/2024","487.60","497.59","497.62","484.96","16.07M","-1.74%"
"11/07/2024","496.25","509.12","510.18","494.77","13.24M","-2.38%"
"11/06/2024","508.33","510.87","510.87","500.04","10.58M","0.48%"
"11/05/2024","505.88","497.31","510.69","496.65","10.22M","1.40%"
"11/04/2024","498.89","508.51","511.21","493.08","15.51M","-2.29%"
"11/01/2024","510.60","513.33","513.33","508.51","2.90M","1.13%"
"10/31/2024","504.91","510.84","510.84","503.58","11.90M","-0.73%"
"10/30/2024","508.63","512.15","516.75","507.33","12.93M","-0.30%"
"10/29/2024","510.18","532.88","534.24","499.86","26.82M","-4.06%"
"10/28/2024","531.79","525.37","536.81","520.74","7.11M","1.64%"
"10/25/2024","523.22","535.09","536.21","518.99","10.87M","-1.78%"
